ICAO;Operador Aéreo;Etapa;Voo;Equip;Assentos;Origem;Aeroporto Origem;Início;Partida Prevista;Chegada Prevista;dt_referencia;nr_voo;nr_etapa;Tipo;Destino;Aeroporto Destino;tx_codeshare
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2656;E195;118;SBRJ;SANTOS DUMONT - RIO DE JANEIRO - RJ - BRASIL;30/01/2022;30/01/2022 15:10;30/01/2022 16:20;30/01/2022 00:00:00;2656;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2675;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:45;30/01/2022 19:15;30/01/2022 00:00:00;2675;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO - UBERLÂNDIA - MG - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2676;AT76;70;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 13:45;30/01/2022 15:25;30/01/2022 00:00:00;2676;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBMG;SÍLVIO NAME JÚNIOR - MARINGÁ - PR - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2689;AT76;70;SBML;FRANK MILOYE MILENKOVICH - MARÍLIA - SP - BRASIL;30/01/2022;30/01/2022 15:25;30/01/2022 16:30;30/01/2022 00:00:00;2689;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2691;AT76;70;SBTG;TRÊS LAGOAS - TRÊS LAGOAS - MS - BRASIL;30/01/2022;30/01/2022 15:15;30/01/2022 16:45;30/01/2022 00:00:00;2691;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2692;E195;118;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 19:20;30/01/2022 20:25;30/01/2022 00:00:00;2692;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCT;AFONSO PENA - SÃO JOSÉ DOS PINHAIS - PR - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2694;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:30;30/01/2022 19:00;30/01/2022 00:00:00;2694;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBGO;SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2695;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 08:05;30/01/2022 09:30;30/01/2022 00:00:00;2695;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBGO;SANTA GENOVEVA/GOIÂNIA - GOIÂNIA - GO - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2697;A20N;174;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 23:35;31/01/2022 02:35;30/01/2022 00:00:00;2697;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBTE;SENADOR PETRÔNIO PORTELLA - TERESINA - PI - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2700;E295;136;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;30/01/2022;30/01/2022 17:20;30/01/2022 19:05;30/01/2022 00:00:00;2700;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBCG;CAMPO GRANDE - CAMPO GRANDE - MS - BRASIL;
AZU;AZUL LINHAS AÉREAS BRASILEIRAS S/A;1;2704;E195;118;SBNF;MINISTRO VICTOR KONDER - NAVEGANTES - SC - BRASIL;30/01/2022;30/01/2022 06:05;30/01/2022 07:10;30/01/2022 00:00:00;2704;1;REGULAR DE PASSAGEIROS DOMÉSTICA;SBKP;VIRACOPOS - CAMPINAS - SP - BRASIL;
